Purity,Efficiency
0.5109172558616236,0.8400590495641297
0.9310986241529049,0.7837065233613586
0.9603349807788143,0.8192465732365447
0.5997010377780414,0.7782403673781518
0.5813850881014815,0.7782973722431351
0.578642524430498,0.7597229790710612
0.6055250112093217,0.7743186744492552
0.9511848439917218,0.7580553183328804
0.5902441477905737,0.7817032252464488
0.5649594890081457,0.7854998824757606
0.9695260737130593,0.8116884857626231
0.5641064615286072,0.7778589911512896
0.9548815029680272,0.7296025589269972
0.9323509758050671,0.7492932870126318
0.6648615091676104,0.8116405010414459
0.5705707417556761,0.7632446021105133
0.5893193772104518,0.8066484727324438
0.8510763198447332,0.9047831147059296
1.0,0.9336359279929172
0.5473170941127453,0.8020675372168167
0.6051271152184413,0.7344706489374878
0.6064135232660028,0.8077210533889491
0.9542691635809787,0.7637920550714635
0.5987513004631673,0.7730406265465968
0.5633971109411956,0.8813636992791242
0.5667431683884284,0.7865720197995992
0.5724563331679122,0.7903412284317122
0.9487434679648096,0.7761898287947389
0.9655272841124608,0.7847020962933117
0.5506078489419791,0.786607205458834
0.5658174438205241,0.7943139425989459
0.9369146653035351,0.8040482333236861
0.5813039758140127,0.7817114414708426
0.7287734650736603,0.7632585628328851
0.6092891949199392,0.7677961665579918
0.5871334561713346,0.787824890521131
0.5595345349372376,0.7644808261645871
0.943391131740374,0.7354632514810187
0.5671920291309153,0.8008665181616457
0.5685353311308562,0.8091911219571484
0.9642285150971259,0.7824638980792761
0.5194650998743372,0.8445860471370736
0.8830290681049449,0.7792672805242966
0.8797815679281532,0.7307873258459068
0.5848972658158035,0.774765173692484
0.6136621205301462,0.747046204091721
0.5869202284196307,0.7531180281812165
0.9922187793970836,0.8587426501779274
0.6021146434253817,0.8045620229825123
0.6159547170194922,0.8008856361392612
0.5780390133787973,0.7878809820927818
0.9452680048317423,0.8876039825446225
0.9380377792054043,0.8521634628430387
0.5132011613451815,0.8532608546391215
0.6064839124299375,0.7748360821633709
0.6368662448628285,0.786260370550106
0.5972693698554393,0.8049824569173021
0.9165750465525137,0.7752848781895679
0.5529090734317625,0.7829079749992098
0.9926547929875841,0.885297450836498
0.9552483803440162,0.8023063543790064
0.6058298534628499,0.7679139021664324
0.9185220993877188,0.8089158915502962
0.99925725982462,0.860443748782158
0.5997767857524735,0.7758130147889848
0.971748658611073,0.7666381905582184
0.8773716375493438,0.7922120179811505
0.9815637972602641,0.8917521832864505
0.4956343935831884,0.85299315596769
0.6211272956412752,0.7076351314882042
0.7764580102168607,0.7507340196533577
0.9163897070808686,0.7636972602721798
0.9533258158390173,0.7702465979025677
0.571910339924569,0.7619624691930551
0.9763749430066065,0.7549951451867384
0.9953073596115568,0.8232098842110019
0.5967635206234978,0.7373274810681848
0.5245142451242204,0.803747054501739
0.5883277891541582,0.8179549872949274
0.8617108874310274,0.8286116420687534
0.589897940272408,0.764916092279202
0.9611380784629326,0.8597229788314089
0.5950256720548368,0.7988351350050746
0.6194490718947014,0.8193038085289898
0.6253740907470691,0.7476782761449892
0.9161417933503788,0.8509403739652073
0.9576749366154876,0.7613669986222646
0.7382243946775585,0.8110263508596705
